tiles_user,tiles_review
Jismariya Jose,"As I am a beginner in analytics, Jigsaw provided me a good foundation in analytics. I have completed Data Science with SAS (self paced ) on last month.
The Course content is effective and it mainly cover SAS section and statistics section. We get to work on real time case studies which helps to get a clear insight about the topic.The LMS system where we can find the Pre class videos, class recordings of each class and course material are enough to explain the concept better. Also we can access Jigsaw Lab (Remote Desktop computer) helps to exercise our case study assignments and SAS codes as well .
The faculty and support team are very approachable and really helpful in our queries. They are ready to give individual attention and followup of our issues , a special thanks to Mr.Moses.
Overall I had a good learning experience with Jigsaw."
Praveen,"It all started when someone from Jigsaw called me up and pitched their course. I visited their website previously. I was contemplating on joining some good course to get myself acquainted with Data Analytics. I would have even went ahead to join their course, but their pitch seemed very aggressive. They claim to be the No.1 in India.
I was genuinely interested in the beginning but when I started asking more questions, I only got disappointing answers. All I was getting was generic answers. When I prodded more, she couldn't handle and transferred my call to some manager. He was of no help too. They claim to provide 100 percent placement assistance, so I was keen on knowing some stats. They said they currently had more than 5k enrolled students. All I asked was for some rough estimate of how many students got placed through their placement assistance. But I was asked to read testimonials on website and read reviews available online. They said they will get back to me on the next day.
I got a call the next day and this time, the manager transferred my call to some other higher official, Balaji, if I remember correctly. I made it clear that I had no doubts regarding their course but I stuck to my request that when they are claiming about the placement assistance, I want some data to support their claim. The same generic answers followed. They say, we have tie ups with 150+ companies. They are the No.1 in the country. They can provide me the best Analytics Course in the market but the placements depend on my learning capability. His response was a bit rude and he even accused me that I was trying to prove their agents wrong. Why on Earth would I care to prove their agent wrong. All I was asking was for some real stats, how many students are enrolled, how many were provided placement assistance, how many successfully got jobs, how many were able to make a career transition? I just asked for some real data. I did not ask for a 100% placement assurance. They did not give me a satisfying response.
I’m not going ahead with their course. They have been in this field for quite some time and I do not doubt their credentials. If learning is what you seek, I believe there are better options available at a much affordable cost."
Midhun,"Yes.
You get a deep insight into data analytics as you finish your course in jigsaw academy. You get to work on many case studies as well. There is a placement team, with whom if you register/keep in contact, keep sending you job postings that are around on the internet. Even Otherwise, once you register, there will be a tab for placements/job postings on your profile. They update everything there.
I also recommend trying out other websites around… The teaching methods differ and you can find the one that satisfies and suits you the most.
Happy Learning!"
Divya Abraham,"When I decided to do a course in analytics, I looked up quite a few instistutes before signing up for the data science course in sas from jigsaw and I am very glad about this because 9 months down the line, I have completed the course, attended interviews that jigsaw facilitated for me and I have a job now in a leading MNC. My experience at jigsaw has been really satisfying. The course content is designed to help even a beginner in this field. The faculty is very approachable and helpful. Yes, after completing the course, I also waited for a bit before I could get an opportunity to attend interviews, but I was in constant touch with the placement team who in turn was supportive in seeing me getting through an opportunity."
Nithya Lakshmi,"Really its very useful.
In my opinion I learnt lot about analytics from Jigsaw academy.
Recently I attended two webinars conducted by jigsaw Academy. Its very effective. NOw I got clear information about, how to get jobs in analytics field without having experience."
Sai Kumar,"I am a currently a jigsaw student. I enrolled for data science course. It's been few months now and the course is very good. The classes are well structured and easy to understand. It's very easy to interact with faculty regarding queries. Recently I attended webinar how to make up for lack of analytics experience conducted by Snehamoy Mukherjee. The session was really good and I learned a lot. This webinar helps people with lack experience in analytics field gain confidence. Hope jigsaw will conduct more webinars helping students gain knowledge.
Subrahmanya Sai Kumar Korapati."
Uday K,"I attended the BigData Specialist course, which I found to be very valuable with good knowledgeable instructors, good quality of video with detailed steps, and related infrastructure provided adequately.
While I might not be looking for a change/hike, I feel personally and professionally this course and Jigsaw has helped me expand my knowledge and skills adequately. I enjoyed the course material, which was very well structured and the instructor videos were of good quality, and the instructors oration was very well paced with live examples and system access, that helped adequately visualize the concept and hands-on approach.
I would truthfully suggest this course to anyone interested in expanding their skills and knowledge in new technology streams, but caution is that this is an extensive course with lot of development work (coding) that required serious commitment from the students to complete the coursework, and receive a certification."
Sandip Rath,Jigsaw Academy provides the knowledge with the lab practice that makes very easy to understand the concepts. Instructors were really experienced and their expertise in Big data course + analytics makes the subject very easy to understand. I recommend Jigsaw Academy who interested in Big data + analytic field.
Saurabh Singh,"Yes, its worth investing in Jigsaw …… I Joined jigsaw on 30th June 2013 for a combo course.
Before joining jigsaw I was almost in double mind whether I will get the satisfactory knowledge which i m expecting and for which i am paying a big amount.
But after 2 years I can say definitely that they are doing great work in the field of analytic by grooming the new bees and transferring the knowledge effectively.
Jigsaw facility and Support team is one of the best team which I have come across.
They were always present 24x7 to support and resolve the issue which the student face during the course.
The knowledge transfer which faculty has done is up to the mark. If the student follows each and every step which they have taught during the lecture, they will surely achieve what they want to."
Sanchita Lobo,"It is great to see interest about Jigsaw Academy on the Quora forum. As someone who is part of the Academy, obviously my views will be biased and therefore I don’t want to get into answering the questions directly. I do, however, want to give a few pointers on how to evaluate the effectiveness of the course.
In my opinion, the experience of the past students is the most effective way to evaluate a course or a training academy. At Jigsaw Academy, we have tons of feedback from our students that we can share with those who are interested. But yes it is easy to question the authenticity of the feedback. Or the authenticity of any other information that comes from the institute itself. There are, however, other ways of getting such information independently.
Here are 2 ways you can learn from the ex-students.
Social media chatter - You should also find out what people are saying about them on social media. Linked in recommendations should get a fair bit of weight age because its hard to get fake testimonials on LI since they are linked to a person’s profile.
Speak to ex-students - Take this a step further, and independently contact some of the people who have given the testimonials. This will give you a good idea about how much weightage to give to the testimonials. Also, you can call up the institute and ask for references of ex-students. Talk to the ex-students directly. Importantly, talk to ex-students who have not given any recommendation anywhere.
I think it is important for anyone who is spending their valuable time, effort and money in taking up a course to do proper research to identify the best option for their needs. I hope this post gives you a sense of how to leverage the experience of past students of an institute to make the right decision for yourself."
Satish Kumar,"My experience at Jigsaw Academy has truly been a remarkable one so far.
Jigsaw has provided a very professional approach to training especially the course content is designed with pre class videos, pre class reading materials, class session recording, quality assignments, quiz,case studies, competitions etc.
Trainers and support are very friendly, lively and approachable. The forum within LMS is interesting, practical and entertaining.
I would truthfully suggest Jigsaw to anyone interested in expanding their skills."
Gurpreet Singh,"My journey with Jigsaw have been thoroughly engaging, fascinating and satisfying. I have taken almost all courses offered by Jigsaw. All the course contents have been well researched and of high quality. I found the case studies to be especially thought provoking leading to hands-on learning. The courses are right on target in teaching us how to think like a statistician in handling various types of data.
The courses aptly cover the best industry practices to tackle various analytical problems. The assignments, quizzes and tests all aid in the learning. I feel I have attained comprehensive knowledge and experience to give me a jump start in my career as a future data scientist."
Ramesh Kumaran N,"I have enrolled for 4 courses in Jigsaw Academy. The course content is designed in such a way to give the overall understanding of topic. With many real time examples in videos and hands on individual lab session makes it a great deal to learn analytics from Jigsaw Academy.
The course content is provided with pre-class videos and pre-class materials which covers almost all the basic things needed for that particular class (Both Web based & Instructor led classes).
The faculty for the courses are knowledgeable and the interaction with faculty & support team is seamless in getting the issue resolved (whether it is related to subject/topic or general support). It just doesn’t stop with videos and materials. The Case Study will make us utilize all the knowledge gained and understanding the topics learnt. The case studies are designed in such a way to give the real-time experience in Analytics. The Forum or Discussion board makes the students to interact among themselves.
I would say that anyone who can sufficiently devote 2-3 hours per day or a minimum of 10 hrs per week can complete the course on time balancing the professional and personal duties."
Rajiv Chaturvedi,"Yes definitely. I am a student at present, and can say it has been a very satisfying experience so far. Much beyond what I had initially expected.
What I like best is the course design. The focus is 100% on practical application - clearing the interview, securing the job, and actually solving the client problem once in the hot seat. Not obscure theory, formulas, etc. The instructors and course material stress this all the time, which is great.
Personally I am very happy with the pace of the class, but some students do find a few classes too fast. In almost all cases its because they have not gone through the pre-class videos. This is something instructors stress on all the time.
Instructors really know their stuff. Students are constantly asking them 'what if' kind of questions, and you can tell the faculty are speaking from experience on what works and does not. You can reach out to faculty anytime... very useful when you are just not getting some concept, or working on a tough assignment.
There is also a forum where students post questions and get response from other students and faculty. This forum is very useful. You can be part of various study groups, usually from classmates in the same batch.
Equally impressive is their support team headed by Qurrat. I have had minor signon issues etc, but all were very speedily resolved. They actually monitor the forum for assignment related questions etc posed by students which I quite like. And they respond promptly. I also like the realtime chat support.
My few suggestions to any incoming student : 1) Take advantage of their promotional pricing deals, its really worth it 2) Make sure you have at least 10-15 hours to go through the pre-class videos before every class, or you will be lost 3) Reach out to faculty and other students actively, it will save you a lot of time and guesswork when doing assignments.
All in all, a great experience. Highly recommended."
Abhisek Nayak,"Jigsaw Academy is one of the best online analytics institute and also tied-up with india best institute like IIM,Great-lakes inst of mangement,some international school.They offer various platfrom of analytics like SAS,R and Hadoop(for Big Data analytics).
I was enrolled couple of courses and completed Data science with R course,its good option to put your money and time for your analytics journey.Now days analytics and Bigdata analytics is best career option and if you want shift into this field and eager to learn baseline and advanced concept and technique than Jigsaw is the best option to go with.
Because the teaching metheodology ,hands on exercise and real case study are pretty awesome.
The LMS system where you can find all the course material,pre classes video and class recording and its very smooth access.
The RDC(Remote Desktop Computer) system where you can exercise your assignmets,case study on SAS ,R programming tools.Furthermore if you stuck somewhere in technical problem or in assignment problem,just mail or a phone call to support team,they instantly support you and they are very fast.
Finally you have to put at least 10 to 15 hours for the course work then go with Jigsaw because the course content and assignment are so much deep in concepts and once you do that and puts extra hard work ,you can even participate in Kaggle(The world largest Data science competation).Also Jigsaw helps to find the right opportunity in career of analytics."
Aakash Mitra,"Yes, If you have background in analytics. No if you are in other background and trying to get into analytics with their certification and assistance which is almost zero. As i tried to do the same and felt like disposing my money in junk so its better to think 100 times before joining the courses."
Neel Biswas,"I enrolled in Jigsaw Academy and i did a lot of research before doing so. And i guarantee that its the best Private Analytic Institute out there.
They have the best trainers available, specially sarita who has managed things very efficiently and not to mention the statistics part , which she teaches like a piece of cake.
The video based course allows you to change the pace of the class which helped me to complete the Foundation Course with SAS in just 12 days (7-9 hours daily) and it was worth every second and every penny.
They also have an Arsenal of Real Time case studies which help you to practice and get in depth knowledge of data/domain which is available in their online lab (accessible 24*7 ).
P.S - If you are ready to spend quality time for analytics then this course with Jigsaw will be your best choice , but if you are too lazy to work ( which is not too much as jigsaw even provides what to do next when you are stuck somewhere and even has a discussion section for contacting peers) then you better not join any analytic course and sit on your couch sipping coke and watching Game Of Thrones (i am a fan by d way :) )"
Bhawna Gupta,"I am doing Big Data Scientist Specialization - R /Hadoop/Tablue. Chose Jigsaw as they are very good on Online delivery of Education. Being it content, pace of study, online support, remote desktop connections too practice, support through mail, phone, chat system. One can test your understanding of each topic through the quizzes and assignments for each topic. Infact recording is provided for each class has good quality. Thanks Jigsaw for helping me in my quest. Overall I can say best place to join, if wish to really learn. At Jigsaw content is designed to cover almost every detail on topic, so it saves time to search further on topic, and thus saves money."
Sourav Biswas,"It is a very compact course and good to learn analytics from the scratch.For me yes it is worth investing time and money. I was totally new to analytics and it really helped me a lot to change or restart my career. In 69000/- I got the Big Data Unicorn which includes- SAS,R,PYTHON,EXCEL,BIG DATA ANALYTICS,APACHE SPARK, APACHE STORM,CASSANDRA,MONGODB which I think quite affordable. The case studies and assignments are really helpful to gain knowledge.I finished the data science course in 8 months. And just after finishing it,I got an Internship opportunity from Jigsaw in a Marketing Analytics Company in Bangalore with some kind of job assurance as per my performance in the internship period. Some feedback I would like to share that- the python course can be bit more informative. There should be a capstone project in python. Implementation of decision tree in SAS would be a good option and also some algorithms like KNN,random forest,bagging,boosting,stacking,K fold cross validation can be included in R. Faculties are good. Promptness in response to the tickets from the faculties, is average. Placement support is very good."
Megha Sushanth Kodela,"I enrolled with Jigsaw Academy for Data Science with SAS and Data Science with R. The course content is not only effective, but its also very practical. The faculty and support staff are very friendly and ever helpful. The best part is that the assignments actually require you to apply all the concepts taught in the class. All in all Jigsaw gives you a full-fledged learning experience."
Gaurav Tiwari,"did any jigsaw student get placed ?
I enrolled in Jigsaw Academy in August 2015 based on promise made by the Jigsaw career counselor that i will be get placed after completing course though i have 5 yrs of exp.
I completed my course(secured -90%) in feb 2016 and still struggling to get the JOB.
additionally, i have not received any interview /job offer through their internal job posting .
People boasting about Jigsaw academy are either Jigsaw faculty or Jigsaw marketing team member .
Don't get trapped
Regards
Jigsaw Student"
Bhargav RK,"Yes... Its worth investing in this course, as it would definitely add to the career and new avenues to grow towards analytics. For beginners its a good platform to start with if they are interested in Market analytics, business analytics.
Investing time. Yes its worth as they give the best information and training for your time invested. core statistical knowledge is refilled here for marketeres.
I would definitely recommend to keep Jigsaw as the first choice to learn analytics."
Vivek Chenna,"I had enrolled for the DATA SCIENCE for SAS course with Jigsaw.I must admit ,that the course is well designed.Blend of pre-class videos on different sections and live instructor led classes certainly helped me comprehend programming concepts and analytical techniques available across excel and SAS.The LMS is also seamless.
Kudos to the faculty and support team as well.They have always been prompt with clarifying doubts."
Kamraj Subramanian,"I completed foundation in analytics and data scientist courses at jigsaw during the last year. Quality student care and investment worthy course contents are some of the highlights of jigsaw academy. Getting my first job was a calkwalk with the help of Jigsaw placements. In the interviews i have attended so far, Jigsaw academy certification is been considered by all of them. It is no wonder i still turn up to the experts in jigsaw for suggestions. With salary packages doubling every year for a data science professional, i would definitely say it is a good investment for the future."
Balaji Athreya,"For a person who knows SAS and has been using it for data analysis and programming, the obvious next step would be to move forward to analytics field or DW area (SAS BI,DI etc).
I decided to pursue my career in analytics as I developed interest while working for a pharma client. I searched many courses and options and finally decided on Jigsaw academy. Believe me we can get value for both time and money invested.
Being a Jigsaw student myself, I can assure you that you will get good exposure to analytics field and techniques in a way which a non statistics person can understand. Of course every person needs to put some hard work to learn a new skill."
Anonymous,"Like Millions of Quora users, today I just thought to pen my feedback regarding a revolution that has already since the recent past and is very active on all Social communication media, and also has been flashed on many journals and top newspaper articles. But still I think there are a huge potential from Indians and worldwide as well to make full use of their real talent and potentiality.
Yeah, yes I am talking about Jigsaw Academy an institute or rather a Knowledge Temple with most precious talented young minds that has been working together to bring a new revolution in the field of Analytics.
The new mantra for Success for all young professionals today is to know the skills to play with data, and Jigsaw got that right and they have been trying to make more and more novice minds skilled with it.
The Co-Founders both Respected Gaurav Vohra Sir and Respected Sarita Digumarti Madam are just the gems. They are skilled with top notch institutes from India and abroad holding tons of precious Analytical experience from the World's most dream organizations.
When in India there were very rare people skilled with Data Analytics, Data Science both Gaurav and Sarita were then holding loads of vast experiences from around the globe like Wal-marts to name a few and across diverse domains including retail, health-care and financial services helping top clients tackle most complex Analytical business problems by applying analytical techniques.
Since the last couple of years both of them are in India busy with a new mission of bringing a revolution in the field of Business Analytics and Data Science trying to shape the careers of hundreds of thousands of bright minds.
Jigsaw Academy.
1. The best one stop destination for professionals trying to get into the bright world of Analytics and Data Science.
2. Each member of the Institute, faculty, support members, Staff are real gems in each and every way they could to help the candidates.
3. World Class learning materials.
4. World Class Blogs.
5. World Class Learning Materials.
6. Placement Assistance.
7. They are all power house of knowledge, just visit some of the blogs written by Gaurav Sir, Sarita maam, Gunnvant Sir, Sanchita Lobo, and many other.
7. All team members I really think how helpful they are specially Tessy Rajan, Roopashri Sajjan, Qurratulayn Yasin, Moses Kola Sir, Manish, Nidhi, Chandan, Vidya, Arun, Prethish Joseph, Rathandeep Naik and many more.
8. Together they all work to make the dream of Gaurav and Sarita True.
Good Luck Jigsaw
Keep helping and shaping needy professionals worldwide.
Just one work, Jigsaw Academy is Rocking and Both Gaurav and Sarita are blessings for all Data Analytics Professionals."
Preetham R Rao,"Jigsaw Academy is a great place to Learn Analytics. I previously have ha no experience in Analytics and as a field it really interested me. I did a lot of research and finally zeroed in on 2 institutes in Bangalore for a course on Analytics( My main interest was SAS). After speaking to a few people, I realized Jigsaw was the place to be. Even on doing a good amount of comparisons online(One comparison was between Jigsaw and IIM-B) , I decided that Jigsaw was the institute to enroll for. Though the other option was much more cheaper, at the end of the day, you always select the place from where you could be better off in the future than sooner!
The faculty quality is nothing short of exceptional! Fabulous, Experienced, practical as well as a very good hands-on approach to each topic. Especially, considering that SAS is a programming language, a hands-on approach is almost inevitable and this is what makes Jigsaw stand out! Sarita: probably the Best Analytics Prof! You could teach a nation Analytics!! Shilpa Jat: Thank you for constatntly replying to my incessant number of doubts in the assignments!! You have constantly supported and helped me with my issues and topics! Thank you very much!!
The support is another brilliant team. Every time I've had issues, they have responded positively as well as promptly! To cite an instance , I was facing an issue while connecting to a Remote Desktop. It was a lazy Sunday Afternoon and I sent a mail to the Support. I immediately(< 5 mins) received a reply which sent me a step-by-step procedure to sort out the issue and I was back to my assignments! Thank you Moses, Ramesh and the Team!!
Overall a great institute! A great future to a great start-up!!"
Charlotte Pinto,"Jigsaw academy course is really one of the best course for career growth who aspiring and already working in analytic industry. It has good approach which focuses on very much real time aspects and industry exposure by providing case studies and assignments to students. The class recording and video sessions gives students flexibility of individual lessons whenever and repeated number of times they want. Recording and video sessions are valuable essence of this course.
Jigsaw academy provides wonderful faculties and staff who really help students in their queries. They are very supportive and helpful. Jigsaw academy concentrates on each of their student’s growth in academy. It is worth investing time and money on this course. This course covers topics like Regression analytics, data exploration and preparation, Decision Trees from the perspective of Business Understanding etc, which requires in real time scenarios. These studies helps students grow in their analytic career."
Vaishnavi Reddy,"I had to enrolled for the online analytics course with certain apprehension about the approach but right from the start my worries were laid to rest. I enrolled for the video based classes of the foundation course. I opted for this primarily because of ease of access to the class recordings given I had to deal with my 2 year old toddler. The content was crisp,to the point and simple.Concepts were explained in very simple terms and the faculty chat option to resolve any queries was also great.The assignments ensured I got a feel of how real time problems can be approached through analytics.
This course has helped me regain my confidence in venturing smoothly into new areas if my interest given I come from banking background with core expertise in marketing.
Thank you jigsaw for opening the world of analytics for me."
Murali Sundarajan,"I had completed the Analytics with Excel and Visual Basic for Analytics programs through jigsaw it was great experience for me to learn at my own pace. currently planing to take a IoT course and along with Machine learning and AI.
Course contents are good and easy to understand and learn. The case studies helped me to understand how to solve the problems. In terms of the faculty support it was really up to the mark. Whenever i raised any concerns it was resolved within the stipulated time. Such vivid experiences made my choice to do analytic with Jigsaw really awesome.
The class videos are easy to understand and explains in a simple way and it's really helpful for my carrier switch-over.
They are offering courses with affordable price compare to other online provider & course content and lab facility will be the cheaper price and good time utilization for improving our knowledge.
Overall, this has been a great experience and would recommend to my friends who are busy to go to classroom training. Great training experience!!!!"
Shankar Dollin,"One of the Worst academy I never experienced in my life, Big Cheater, Loot your money by providing false hopes. They promised 100% Job Placement, lifetime access for the course content, hands-on experience their ongoing project & so many things while enrolling the course. After paying the money they don't care about anything, they will not respond to your call & queries raised by you. Now they have removed my access but they have promised for lifetime access.. All bulshit they will talk while enrolling & make you ""Bakara"" . Yes, I am one the big ""Bakara"" I have trusted them & paid ""120000"" rupees, at last, i got zero, yes a big ZERO in the return.
They have played with my career. now jobless because of the jigsaw. they have promised me 100% job placement, I left the existing job to complete the course & this advised by them only, after completing the course they raised their hands.
Totally waste of your time & money, at last, you will spoil your career.
This is my HONEST Review on JIGSAW.
Please think before enrolling any JIGSAW courses."
